feature_1,feature_2,correlation
V5,V12,-0.07424303705611834
V12,V5,-0.07424303705611834
V24,V4,-0.0736528807019534
V4,V24,-0.0736528807019534
V15,V25,-0.07355295450126562
V25,V15,-0.07355295450126562
V7,V13,-0.07147931142695065
V13,V7,-0.07147931142695065
V3,V19,-0.07141762028545412
V19,V3,-0.07141762028545412
V23,V26,0.07001986128331832
V26,V23,0.07001986128331832
V16,V5,0.06999913310624771
V5,V16,0.06999913310624771
V15,V2,0.06902371773058638
V2,V15,0.06902371773058638
V13,V18,-0.06809348312061851
V18,V13,-0.06809348312061851
V23,V9,-0.06740810207340572
V9,V23,-0.06740810207340572
V20,V19,0.06703390251764453
V19,V20,0.06703390251764453
V12,V23,-0.0668715626098709
V23,V12,-0.0668715626098709
V28,V17,0.06665831839389846
V17,V28,0.06665831839389846
V28,V1,0.06649876142834482
V1,V28,0.06649876142834482
V14,V8,0.06607667470814972
V8,V14,0.06607667470814972
V19,V16,0.06547756435155651
V16,V19,0.06547756435155651
V18,V12,0.0651357835881113
V12,V18,0.0651357835881113
V15,V1,0.06511925027242334
V1,V15,0.06511925027242334
V20,V4,-0.0643940394498141
V4,V20,-0.0643940394498141
V24,V11,0.06377494062771605
V11,V24,0.06377494062771605
V25,V27,0.06330678528519597
V27,V25,0.06330678528519597
V22,V28,-0.06273029218269205
V28,V22,-0.06273029218269205
V26,V17,-0.062483575604081916
V17,V26,-0.062483575604081916
V13,V20,0.06221193778228201
V20,V13,0.06221193778228201
V8,V15,-0.06117192580780015
V15,V8,-0.06117192580780015
V13,V3,-0.06083680426459444
V3,V13,-0.06083680426459444
V13,V25,0.06070331164876411
V25,V13,0.06070331164876411
V8,V6,0.06051781175121415
V6,V8,0.06051781175121415
V2,V13,-0.060099714272304386
V13,V2,-0.060099714272304386
V16,V8,0.05975327183766904
V8,V16,0.05975327183766904
V27,V5,-0.05946466474842613
V5,V27,-0.05946466474842613
V13,V5,0.05930273169120353
V5,V13,0.05930273169120353
V19,V22,-0.057843932361513355
V22,V19,-0.057843932361513355
V15,V27,0.05777191491195245
V27,V15,0.05777191491195245
V21,V13,-0.05764221360549354
V13,V21,-0.05764221360549354
V15,V11,-0.05742331293708414
V11,V15,-0.05742331293708414
V3,V24,-0.056888756050386506
V24,V3,-0.056888756050386506
V26,V24,-0.05661599881113664
V24,V26,-0.05661599881113664
V15,V19,-0.05654083017698913
V19,V15,-0.05654083017698913
V19,V23,-0.05646459084569288
V23,V19,-0.05646459084569288
V10,V27,-0.05615133026456331
V27,V10,-0.05615133026456331
V23,V2,0.05570166064382953
V2,V23,0.05570166064382953
V21,V2,0.054195942978237197
V2,V21,0.054195942978237197
V18,V7,0.054185023262571574
V7,V18,0.054185023262571574
V23,V16,0.05377451792155605
V16,V23,0.05377451792155605
V9,V2,0.05374231964908256
V2,V9,0.05374231964908256
V23,V21,0.05346018577497794
V21,V23,0.05346018577497794
V1,V17,0.053034370889302275
V17,V1,0.053034370889302275
V24,V20,0.05266658137538922
V20,V24,0.05266658137538922
V10,V19,0.05186826755240934
V19,V10,0.05186826755240934
V14,V9,0.051854728774489586
V9,V14,0.051854728774489586
V27,V13,-0.05153245802552545
V13,V27,-0.05153245802552545
V3,V12,0.05119853583927405
V12,V3,0.05119853583927405
V16,V24,0.050812776480662555
V24,V16,0.050812776480662555
V19,V27,-0.050705256078240175
V27,V19,-0.050705256078240175
V16,V26,0.04979568023121268
V26,V16,0.04979568023121268
V21,V15,0.04970056260841842
V15,V21,0.04970056260841842
V2,V18,0.048880789374861136
V18,V2,0.048880789374861136
V4,V13,0.04854260785917072
V13,V4,0.04854260785917072
Amount,V13,0.048447362484677965
V13,Amount,0.048447362484677965
V18,V27,0.04802149295867364
V27,V18,0.04802149295867364
V20,V17,-0.04782927760349085
V17,V20,-0.04782927760349085
V8,V9,-0.04752733269956264
V9,V8,-0.04752733269956264
V19,V28,-0.047290068370745605
V28,V19,-0.047290068370745605
V27,Amount,0.046713822206816046
Amount,V27,0.046713822206816046
Amount,V18,0.046284506092459904
V18,Amount,0.046284506092459904
V27,V21,0.04624974121243637
V21,V27,0.04624974121243637
V5,V24,0.0457205316653039
V24,V5,0.0457205316653039
V19,V5,0.045202965725737704
V5,V19,0.045202965725737704
V4,V23,0.044819031657967835
V23,V4,0.044819031657967835
V18,V6,-0.04478195519813866
V6,V18,-0.04478195519813866
V18,V15,-0.044223012142719044
V15,V18,-0.044223012142719044
V23,V24,0.04383493162167745
V24,V23,0.04383493162167745
V26,V7,-0.04339666259022096
V7,V26,-0.04339666259022096
V16,V20,0.043170657146571735
V20,V16,0.043170657146571735
Amount,V9,-0.04312744241739725
V9,Amount,-0.04312744241739725
V2,V17,-0.042929311080789956
V17,V2,-0.042929311080789956
V3,V9,0.04257463716839722
V9,V3,0.04257463716839722
V3,V18,-0.04240128264654398
V18,V3,-0.04240128264654398
V28,V11,-0.04225330518921005
V11,V28,-0.04225330518921005
V24,V27,-0.042104700762847495
V27,V24,-0.042104700762847495
V10,V6,0.041909494608522786
V6,V10,0.041909494608522786
V19,V14,0.0418805940340865
V14,V19,0.0418805940340865
V28,V20,-0.04155564036826337
V20,V28,-0.04155564036826337
V17,V24,-0.041342081845018704
V24,V17,-0.041342081845018704
V17,V19,-0.04103748207592227
V19,V17,-0.04103748207592227
V28,V26,0.040955663896225916
V26,V28,0.040955663896225916
V28,V25,0.040217632289561614
V25,V28,0.040217632289561614
V14,V24,0.03958593173531271
V24,V14,0.03958593173531271
V5,V23,-0.03875359964004983
V23,V5,-0.03875359964004983
V8,V18,-0.03845652744356739
V18,V8,-0.03845652744356739
V2,V4,0.03824901710464539
V4,V2,0.03824901710464539
V2,V16,-0.03713719822600565
V16,V2,-0.03713719822600565
V24,V21,-0.037108240999288014
V21,V24,-0.037108240999288014
V22,V8,0.03709381547069089
V8,V22,0.03709381547069089
V26,V9,-0.03680940026294835
V9,V26,-0.03680940026294835
V6,V11,-0.036402100810714245
V11,V6,-0.036402100810714245
V26,V13,-0.03627876968434852
V13,V26,-0.03627876968434852
V27,V8,0.03538607235068809
V8,V27,0.03538607235068809
V4,V14,-0.03533575201241108
V14,V4,-0.03533575201241108
V25,V8,0.035095117432127156
V8,V25,0.035095117432127156
V23,V28,-0.03448403568328975
V28,V23,-0.03448403568328975
V23,V13,0.03413715884470471
V13,V23,0.03413715884470471
V10,V23,0.03401923048184447
V23,V10,0.03401923048184447
V7,V28,-0.034009724830225345
V28,V7,-0.034009724830225345
V21,V18,0.033515219783062204
V18,V21,0.033515219783062204
V8,V4,0.03325598861208163
V4,V8,0.03325598861208163
V6,V28,0.03279358697655673
V28,V6,0.03279358697655673
V4,V21,-0.03215286124277331
V21,V4,-0.03215286124277331
V8,V19,0.031683267627899095
V19,V8,0.031683267627899095
V6,V20,-0.03156959772904073
V20,V6,-0.03156959772904073
V26,V8,0.03155790325765208
V8,V26,0.03155790325765208
V24,V19,0.03153152441353795
V19,V24,0.03153152441353795
V21,V3,0.031222763978821563
V3,V21,0.031222763978821563
V24,V12,-0.03108522621312772
V12,V24,-0.03108522621312772
V4,V25,-0.03091753112343607
V25,V4,-0.03091753112343607
V26,V19,-0.030751442788599797
V19,V26,-0.030751442788599797
V4,V28,0.03067063851911923
V28,V4,0.03067063851911923
V21,V5,0.03052488848625273
V5,V21,0.03052488848625273
V18,V11,-0.030517972338402675
V11,V18,-0.030517972338402675
V18,V26,0.030263992069573323
V26,V18,0.030263992069573323
V21,V16,-0.030020483090484478
V16,V21,-0.030020483090484478
V8,V10,-0.029221325077904866
V10,V8,-0.029221325077904866
V23,V27,0.02880808575514855
V27,V23,0.02880808575514855
V9,V6,0.028529377396829047
V6,V9,0.028529377396829047
V18,V28,0.02808421602010843
V28,V18,0.02808421602010843
V19,V12,-0.02805570008641611
V12,V19,-0.02805570008641611
V10,V18,-0.02757261375944372
V18,V10,-0.02757261375944372
V21,V14,-0.02736637740279742
V14,V21,-0.02736637740279742
V17,V6,0.02709446573774413
V6,V17,0.02709446573774413
V18,V9,-0.026928349185109317
V9,V18,-0.026928349185109317
V27,V26,-0.02682957727318211
V26,V27,-0.02682957727318211
V10,V9,0.026503371977558105
V9,V10,0.026503371977558105
V5,V18,0.026130112225754596
V18,V5,0.026130112225754596
V15,V20,0.025971989291216937
V20,V15,0.025971989291216937
V24,V7,-0.025782573987501903
V7,V24,-0.025782573987501903
V1,V24,0.025521252553853464
V24,V1,0.025521252553853464
V22,V9,0.02536110006942589
V9,V22,0.02536110006942589
V2,V24,-0.025324248668202716
V24,V2,-0.025324248668202716
V8,V3,0.025012756172842165
V3,V8,0.025012756172842165
V10,V15,0.024653790978050427
V15,V10,0.024653790978050427
V4,V12,0.024406887681808768
V12,V4,0.024406887681808768
V22,V18,-0.024381444083633443
V18,V22,-0.024381444083633443
V28,V13,0.0238294356826223
V13,V28,0.0238294356826223
V9,V19,-0.023617332008070358
V19,V9,-0.023617332008070358
V16,V27,0.023584416058908785
V27,V16,0.023584416058908785
V26,V2,-0.02353508890001087
V2,V26,-0.02353508890001087
V14,V27,0.02318388281068597
V27,V14,0.02318388281068597
V13,V8,0.02316810557719415
V8,V13,0.02316810557719415
V11,V3,-0.022932419411108334
V3,V11,-0.022932419411108334
V24,V28,0.02275374510067487
V28,V24,0.02275374510067487
V6,V1,0.022463781755266674
V1,V6,0.022463781755266674
V10,V3,0.021975168194433403
V3,V10,0.021975168194433403
V7,V9,-0.021933609685712705
V9,V7,-0.021933609685712705
V12,V28,0.02183481753510548
V28,V12,0.02183481753510548
V7,V11,0.021786385055186527
V11,V7,0.021786385055186527
V25,V14,-0.021528854706451935
V14,V25,-0.021528854706451935
V20,V11,0.021404803676439915
V11,V20,0.021404803676439915
V9,V27,0.021402320906019026
V27,V9,0.021402320906019026
V25,V12,0.021164650985378747
V12,V25,0.021164650985378747
V19,Amount,-0.020768726712363184
Amount,V19,-0.020768726712363184
V11,Amount,-0.020444725276122892
Amount,V11,-0.020444725276122892
V22,Amount,-0.020231868971292505
Amount,V22,-0.020231868971292505
V17,V3,-0.019847873892692682
V3,V17,-0.019847873892692682
V14,V5,-0.01928314543370327
V5,V14,-0.01928314543370327
V2,V28,-0.01854384368928968
V28,V2,-0.01854384368928968
V10,V5,0.01835798175817757
V5,V10,0.01835798175817757
V25,V19,0.01827913408933367
V19,V25,0.01827913408933367
V25,V10,-0.018189667382382674
V10,V25,-0.018189667382382674
V9,V21,0.018102287823131984
V21,V9,0.018102287823131984
V18,V16,0.018061553289891213
V16,V18,0.018061553289891213
V27,V7,0.018030662147850166
V7,V27,0.018030662147850166
V22,V17,-0.01786127487255267
V17,V22,-0.01786127487255267
V3,V7,0.017256200554655293
V7,V3,0.017256200554655293
V4,V22,0.017114135175639558
V22,V4,0.017114135175639558
V21,V6,0.016033047799633004
V6,V21,0.016033047799633004
V7,V20,-0.01574022113044131
V20,V7,-0.01574022113044131
V23,V6,0.015553172780290626
V6,V23,0.015553172780290626
V24,Amount,0.015530085295009693
Amount,V24,0.015530085295009693
V2,V20,-0.015517297679325248
V20,V2,-0.015517297679325248
V17,Amount,0.015366347660252569
Amount,V17,0.015366347660252569
V21,V11,-0.015159157393679608
V11,V21,-0.015159157393679608
Amount,V14,-0.01491990312542068
V14,Amount,-0.01491990312542068
V10,V21,0.014536259029752736
V21,V10,0.014536259029752736
V27,V17,0.013917320594126802
V17,V27,0.013917320594126802
V24,V13,0.013340958811038103
V13,V24,0.013340958811038103
V27,V6,0.01222667608726508
V6,V27,0.01222667608726508
V11,V27,-0.011823039275609862
V27,V11,-0.011823039275609862
V17,V21,-0.011624276193784906
V21,V17,-0.011624276193784906
V7,V4,-0.011189547993225815
V4,V7,-0.011189547993225815
V7,V10,0.010951792561989457
V10,V7,0.010951792561989457
V25,V20,-0.010562618937949306
V20,V25,-0.010562618937949306
V20,V8,0.0096022436219884
V8,V20,0.0096022436219884
V6,V4,-0.009546765118778647
V4,V6,-0.009546765118778647
V19,V21,0.00948697753074223
V21,V19,0.00948697753074223
V2,V22,-0.009260667653254766
V22,V2,-0.009260667653254766
V21,V25,0.00922837392357545
V25,V21,0.00922837392357545
V19,V7,-0.008930787184481936
V7,V19,-0.008930787184481936
V15,Amount,-0.00878710012567112
Amount,V15,-0.00878710012567112
Amount,V12,-0.008785230085688453
V12,Amount,-0.008785230085688453
V1,V19,0.00789282694135996
V19,V1,0.00789282694135996
V2,V19,0.007866983579011094
V19,V2,0.007866983579011094
V24,V15,0.007387750094716095
V15,V24,0.007387750094716095
V23,V3,-0.007197185692488835
V3,V23,-0.007197185692488835
V18,V24,0.007109465365756004
V24,V18,0.007109465365756004
V24,V10,0.006334586696678653
V10,V24,0.006334586696678653
V28,V21,-0.005017307479653446
V21,V28,-0.005017307479653446
V2,V11,0.004627596834801082
V11,V2,0.004627596834801082
V10,V13,0.004477566251268745
V13,V10,0.004477566251268745
V27,V22,0.00419308528443367
V22,V27,0.00419308528443367
V5,V11,0.004123282496748946
V11,V5,0.004123282496748946
V10,V16,0.004096865497679215
V16,V10,0.004096865497679215
V4,V18,-0.0040017467093745145
V18,V4,-0.0040017467093745145
Amount,V16,0.0038905571279468565
V16,Amount,0.0038905571279468565
V24,V9,0.0038729625980730323
V9,V24,0.0038729625980730323
Amount,V21,0.0037324566365189156
V21,Amount,0.0037324566365189156
V11,V22,-0.0036500529440529174
V22,V11,-0.0036500529440529174
V28,V15,-0.0036106135869056555
V15,V28,-0.0036106135869056555
V24,V25,0.003456936178905847
V25,V24,0.003456936178905847
V5,V9,0.003384948127810197
V9,V5,0.003384948127810197
V23,V15,0.003380985594651973
V15,V23,0.003380985594651973
V25,Amount,-0.0032928548530130664
Amount,V25,-0.0032928548530130664
V15,V16,-0.00305096355379712
V16,V15,-0.00305096355379712
V20,V18,-0.002717152953136578
V18,V20,-0.002717152953136578
V19,V4,-0.0025563198188964056
V4,V19,-0.0025563198188964056
V8,V24,-0.002507596159273007
V24,V8,-0.002507596159273007
V19,V13,-0.002163800731443683
V13,V19,-0.002163800731443683
V24,V22,-0.0021053597379681113
V22,V24,-0.0021053597379681113
V27,V20,-0.0017674294503323906
V20,V27,-0.0017674294503323906
V26,V6,-0.0016216880970922054
V6,V26,-0.0016216880970922054
V25,V5,0.0015368973718999208
V5,V25,0.0015368973718999208
V26,V20,0.00123351685833661
V20,V26,0.00123351685833661
V17,V8,0.0008653816241188678
V8,V17,0.0008653816241188678
V11,V8,-0.0005494249738215613
V8,V11,-0.0005494249738215613
V12,V20,0.00040491961129459156
V20,V12,0.00040491961129459156
V26,V21,-0.00032490229589052
V21,V26,-0.00032490229589052
